# Source: /dune/data/users/lblpwg_tools/FastMC_Data/outputs/cherdack/v3r2p4b/nominal//fastmcNtp_20160404_lbne_g4lbnev3r2p4b_anuflux_numubarflux_nutaubar_LAr_1_g280_Ar40_5000_GENIE_2100.root
# Event cuts: "(EvClass_reco == 2) && nc"
# True event type: nc
1, 14, 79, 143, 214, 357, 499, 746, 929, 1327, 1599, 1914, 2199, 2416, 2715, 2898, 3161, 3531, 3758, 3818, 4097, 4307, 4507, 4836, 5228, 5270, 5476, 5682, 5719, 5879, 5768, 5934, 5927, 6011, 5954, 6124, 6174, 6083, 5794, 5867, 5676, 5451, 5324, 5166, 4958, 4867, 4746, 4391, 4123, 3935, 3670, 3539, 3162, 2843, 2731, 2510, 2397, 2153, 1967, 1852, 1678, 1604, 1422, 1379, 1294, 1204, 1104, 957, 928, 932, 771, 760, 694, 700, 645, 570, 564, 483, 501, 481, 437, 431, 394, 433, 367, 390, 375, 375, 335, 316, 344, 350, 281, 301, 268, 282, 275, 260, 262, 274, 258, 245, 247, 240, 246, 224, 226, 236, 261, 212, 188, 197, 227, 205, 219, 194, 218, 232, 208, 221
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 1, 2, 2, 0, 3, 0, 1, 3, 2, 2, 2, 1, 3, 5, 2, 4, 2, 3, 3, 1, 3, 5, 3, 7, 5, 0, 3, 1, 3, 4, 1, 3, 0, 2, 4, 3, 2, 1, 1, 1, 2, 1, 1, 0, 0, 1, 1, 2, 2, 2, 0, 1, 0, 0, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 10, 21, 34, 64, 91, 112, 164, 171, 225, 234, 258, 256, 307, 357, 396, 362, 407, 456, 494, 557, 553, 565, 552, 602, 606, 574, 593, 610, 679, 608, 664, 651, 638, 631, 634, 626, 639, 598, 591, 553, 514, 520, 480, 453, 445, 416, 358, 352, 344, 302, 264, 276, 215, 215, 223, 186, 193, 142, 142, 138, 147, 108, 120, 82, 98, 64, 80, 77, 95, 79, 58, 59, 71, 62, 73, 63, 42, 54, 44, 37, 42, 33, 35, 40, 34, 30, 45, 31, 18, 32, 34, 23, 26, 32, 16, 30, 28, 33, 32, 31, 33, 30, 25, 23, 31, 22, 34, 22, 21, 27, 23, 18, 13, 19, 24
0, 0, 0, 0, 1, 10, 32, 45, 74, 132, 145, 222, 254, 323, 409, 415, 450, 547, 587, 666, 679, 727, 795, 828, 901, 944, 993, 998, 1111, 1180, 1111, 1148, 1179, 1197, 1190, 1205, 1210, 1219, 1230, 1225, 1145, 1161, 1071, 1058, 1043, 1014, 954, 990, 857, 867, 741, 695, 642, 569, 587, 541, 484, 501, 431, 445, 331, 365, 328, 296, 275, 263, 227, 220, 220, 202, 188, 163, 170, 163, 145, 141, 129, 138, 127, 84, 98, 87, 98, 89, 83, 72, 74, 83, 67, 73, 68, 70, 66, 60, 75, 53, 75, 51, 67, 66, 58, 66, 66, 55, 51, 55, 50, 68, 50, 50, 47, 51, 65, 37, 37, 44, 52, 45, 48, 50
0, 0, 0, 0, 0, 5, 8, 22, 52, 63, 86, 124, 158, 208, 220, 269, 288, 298, 363, 368, 388, 456, 522, 563, 571, 603, 626, 661, 715, 687, 696, 638, 748, 789, 767, 751, 814, 776, 788, 825, 802, 737, 710, 699, 660, 674, 659, 669, 556, 522, 516, 492, 454, 422, 397, 353, 333, 293, 282, 285, 249, 217, 222, 202, 184, 177, 150, 150, 119, 147, 138, 127, 95, 67, 75, 82, 97, 84, 56, 58, 67, 63, 68, 57, 60, 55, 63, 45, 43, 45, 45, 40, 36, 44, 39, 36, 41, 33, 38, 37, 33, 41, 50, 45, 38, 28, 38, 34, 32, 30, 43, 32, 34, 28, 23, 26, 39, 25, 21, 32
0, 0, 0, 0, 0, 1, 4, 14, 20, 26, 42, 74, 97, 121, 132, 164, 207, 240, 281, 275, 316, 328, 403, 416, 427, 423, 489, 528, 552, 575, 580, 567, 622, 583, 621, 619, 657, 641, 652, 628, 647, 600, 587, 566, 568, 564, 499, 546, 491, 419, 433, 379, 333, 374, 281, 292, 244, 256, 221, 219, 175, 182, 196, 169, 130, 127, 119, 133, 116, 113, 85, 103, 74, 86, 74, 70, 59, 71, 66, 65, 51, 55, 61, 33, 55, 46, 42, 51, 40, 38, 32, 45, 39, 42, 47, 37, 30, 31, 31, 33, 36, 27, 32, 35, 23, 30, 23, 24, 31, 31, 19, 29, 25, 30, 25, 18, 25, 24, 23, 32
0, 0, 0, 0, 0, 1, 1, 5, 6, 12, 19, 54, 61, 82, 120, 136, 160, 202, 213, 225, 300, 279, 308, 351, 335, 383, 439, 445, 438, 485, 464, 487, 503, 487, 566, 546, 516, 531, 548, 566, 595, 578, 473, 518, 519, 459, 465, 414, 431, 400, 408, 333, 348, 333, 296, 278, 249, 198, 195, 188, 165, 169, 155, 131, 128, 128, 115, 111, 84, 94, 86, 80, 83, 82, 75, 82, 59, 55, 43, 61, 47, 47, 56, 48, 61, 47, 46, 43, 40, 40, 37, 45, 33, 33, 31, 35, 33, 20, 39, 34, 29, 21, 31, 26, 36, 28, 27, 20, 20, 32, 22, 24, 29, 19, 22, 27, 22, 19, 21, 19
0, 0, 0, 0, 0, 0, 2, 2, 4, 7, 9, 22, 37, 47, 88, 73, 116, 134, 163, 168, 215, 250, 267, 268, 323, 337, 346, 350, 378, 455, 460, 427, 473, 461, 438, 487, 505, 510, 525, 506, 486, 479, 444, 453, 432, 478, 400, 378, 368, 354, 385, 327, 292, 291, 246, 229, 221, 204, 191, 183, 169, 168, 157, 137, 102, 109, 113, 105, 93, 90, 75, 70, 74, 73, 69, 65, 52, 76, 73, 50, 46, 46, 40, 41, 37, 38, 31, 39, 34, 33, 43, 39, 35, 33, 30, 25, 34, 20, 29, 32, 31, 26, 24, 34, 32, 30, 35, 29, 26, 23, 18, 30, 26, 19, 29, 20, 32, 24, 18, 11
0, 0, 0, 0, 0, 0, 0, 2, 1, 5, 7, 16, 28, 40, 37, 58, 78, 97, 146, 129, 137, 201, 185, 233, 215, 255, 266, 301, 316, 325, 333, 337, 351, 362, 363, 399, 384, 414, 393, 417, 391, 380, 396, 394, 378, 361, 360, 328, 287, 266, 310, 248, 243, 247, 199, 203, 186, 196, 157, 145, 130, 122, 157, 98, 87, 95, 97, 75, 100, 66, 72, 66, 62, 71, 46, 57, 51, 55, 40, 34, 39, 31, 28, 30, 29, 37, 33, 26, 34, 36, 30, 28, 22, 17, 32, 32, 25, 23, 28, 13, 24, 24, 24, 27, 19, 17, 15, 21, 21, 18, 22, 12, 21, 24, 16, 20, 20, 14, 23, 16
0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 6, 13, 11, 21, 39, 35, 58, 75, 81, 110, 123, 127, 140, 161, 163, 233, 233, 248, 239, 308, 280, 309, 326, 303, 336, 369, 341, 385, 372, 353, 362, 353, 330, 335, 327, 322, 335, 318, 301, 265, 232, 224, 242, 188, 175, 188, 174, 156, 158, 130, 125, 122, 127, 107, 96, 84, 81, 91, 73, 59, 60, 60, 57, 48, 58, 44, 52, 58, 42, 44, 44, 38, 34, 28, 32, 30, 29, 21, 29, 29, 26, 31, 29, 21, 26, 30, 23, 20, 20, 20, 19, 22, 20, 23, 19, 19, 17, 19, 13, 19, 24, 21, 15, 15, 14, 17, 15, 22, 18, 18
